R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,52.2,0,36,7.36,
2,,"Emilio Nsue Lopez 25, DR",0,0,1,83.3,2,56,7.15,
3,,"Kenneth Omeruo 21, DC",0,0,0,79.4,4,69,7.31,
4,,"Ben Gibson 22, DC",0,0,0,90.2,2,68,7.06,
5,,"George Friend 27, DL",3,3,0,80.4,1,62,8.43,
6,,"Grant Leadbitter 29, DMC",2,1,2,82.4,3,81,8.39,
7,,"Adam Clayton 26, DMC",0,0,1,82.8,3,94,7.12,
8,,"Albert Adomah 27, AMR",3,1,0,75,1,45,7.29,
9,,"Lee Tomlin (73?)26, AMC",1,0,1,82.1,0,51,6.62,
10,,"Patrick Bamford (89?)21, AML",2,0,0,88.5,0,40,6.82,
11,,"Kike (67?)25, FW",2,1,1,79,0,28,6.69,
12,,"Rhys Williams (89?)26, Sub",0,0,0,71.4,0,8,6.18,
13,,"Jelle Vossen (67?)25, Sub",1,1,0,50,0,9,7.52,
14,,"Adam Reach (73?)21, Sub",0,0,0,75,0,9,6.3,
15,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,-,
16,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,-,
17,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
