R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,94.7,0,33,6.19,
2,,"Ryan Fredericks (38?)22, DR",0,0,0,44.4,0,23,5.87,
3,,"Tomas Kalas 21, DC",0,0,0,86.8,3,46,6.53,
4,,"Ben Gibson 22, DC",0,0,0,79.2,0,52,5.94,
5,,"George Friend 27, DL",2,0,2,78.2,2,72,6.92,
6,,"Grant Leadbitter (82?)29, DMC",3,2,2,91.9,0,79,7.97,
7,,"Adam Clayton 26, DMC",1,0,5,86.4,1,88,7.12,
8,,"Albert Adomah (69?)27, AMR",1,0,4,83.7,0,55,6.62,
9,,"Lee Tomlin 26, AMC",6,0,5,85.9,0,77,7.46,
10,,"Patrick Bamford 21, AML",4,1,2,79.3,0,44,6.2,
11,,"Kike 25, FW",7,0,2,93.3,0,32,6.25,
12,,"Jelle Vossen (69?)25, Sub",1,0,1,50,1,4,6.11,
13,,"Emilio Nsue Lopez (38?)25, Sub",0,0,2,75.7,0,57,6.67,
14,,"Adam Forshaw (82?)23, Sub",1,1,0,88.9,0,11,6.33,
15,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
16,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,-,
17,,"Adam Reach 22, Sub",0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,-,
