R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,0,29.6,1,38,7.1,
2,,"Ryan Fredericks 22, DR",0,0,1,70.3,1,47,6.98,
3,,"Ben Gibson 21, DC",0,0,0,74.1,2,62,6.83,
4,,"Daniel Ayala 24, DC",0,0,0,75.9,2,67,7.52,
5,,"George Friend 27, DL",0,0,1,77.3,4,66,7.89,
6,,"Adam Clayton 25, DMC",3,0,2,78.6,0,66,6.75,
7,,"Grant Leadbitter 28, DMC",1,0,0,81.7,2,68,6.48,
8,,"Yanic Wildschut (45?)23, AMR",0,0,1,81.3,1,24,6.21,
9,,"Lee Tomlin (79?)25, AMC",2,1,3,90,0,41,6.63,
10,,"Adam Reach 21, AML",4,0,0,74.1,2,44,7.19,
11,,"Patrick Bamford (67?)21, FW",0,0,0,61.5,1,16,6.38,
12,,"Jelle Vossen (79?)25, Sub",0,0,0,20,0,6,5.97,
13,,"Albert Adomah (67?)26, Sub",0,0,0,40,0,8,6.13,
14,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,-,
15,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,-,
16,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,-,
17,,"Kike (45?)24, Sub",1,0,0,61.5,0,17,5.9,
18,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,-,
