R,,Name,Shots,ShotsOT,KeyPasses,PA%,AerialsWon,Touches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,22.7,1,39,6.1,
2,,"Kenneth Omeruo (57?)21, DR",0,0,0,35.3,5,27,6.25,
3,,"Tomas Kalas 21, DC",0,0,1,78.6,1,41,6.88,
4,,"Ben Gibson 22, DC",0,0,1,50,2,40,6.77,
5,,"James Husband 21, DL",0,0,0,60,0,41,6.03,
6,,"Adam Clayton 26, DMC",1,0,0,65.8,0,54,6.13,
7,,"Dean Whitehead (57?)33, DMC",0,0,0,54.6,2,42,6.47,
8,,"Albert Adomah 27, AMR",0,0,0,71.4,2,53,6.75,
9,,"Adam Forshaw (71?)23, AMC",1,0,1,75,0,44,6.58,
10,,"Patrick Bamford 21, AML",2,1,1,69.2,1,37,6.23,
11,,"Kike 25, FW",4,3,0,65.5,4,46,6.85,
12,,"Yanic Wildschut (71?)23, Sub",1,0,0,75,1,10,6.1,
13,,"Lee Tomlin (57?)26, Sub",0,0,3,68.8,2,20,6.14,
14,,"Grant Leadbitter (57?)29, Sub",0,0,2,94.7,0,22,6.24,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,-,
18,,"George Friend 27, Sub",0,0,0,0,0,0,-,
