R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,5.76,
2,József Varga,DR,2,1,3,3,1,0,0,6.42,
3,Kenneth Omeruo,DC,4,2,7,7,1,4,0,6.9,
4,Ben Gibson,DC,1,1,7,7,1,0,0,6.12,
5,George Friend,DL,3,2,0,0,0,0,0,7.69,
6,Albert Adomah,MR,7,2,0,0,0,0,0,7.18,
7,Nathaniel Chalobah,MC,3,1,1,1,0,0,2,6.48,
8,Dean Whitehead,MC,5,3,1,1,1,0,1,7.04,
9,Kei Kamara88',ML,0,0,0,0,0,0,0,6.17,
10,Jacob Butterfield63',AMC,0,0,0,0,0,0,0,6.41,
11,Danny Graham,FW,1,0,0,0,0,0,1,6.09,
12,Luke Williams,Sub,0,0,0,0,0,0,0,0,
13,Bryn Morris,Sub,0,0,0,0,0,0,0,0,
14,David Atkinson,Sub,0,0,0,0,0,0,0,0,
15,Lee Tomlin63',Sub,0,0,1,1,0,0,0,6.22,
16,Jason Steele,Sub,0,0,0,0,0,0,0,0,
17,Curtis Main,Sub,0,0,0,0,0,0,0,0,
18,Emmanuel Jorge Ledesma88',Sub,0,0,0,0,0,0,0,5.8,
