R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,2,2,0,0,0,5.92,
2,Frazer Richardson,DR,1,1,3,3,0,1,0,6.39,
3,Rhys Williams,DC,2,0,20,20,2,1,0,7.38,
4,Jonathan Woodgate,DC,3,0,15,15,0,2,1,6.84,
5,George Friend,DL,0,0,7,7,0,0,0,6.58,
6,Mustapha Carayol63',MR,1,0,0,0,0,0,1,6.39,
7,Dean Whitehead63',MC,1,0,0,0,0,0,2,5.9,
8,Jacob Butterfield,MC,0,0,1,1,0,0,0,5.77,
9,Grant Leadbitter,MC,1,0,4,4,1,0,2,6.79,
10,Albert Adomah,ML,2,1,0,0,0,0,1,7.46,
11,Lukas Jutkiewicz,FW,0,0,0,0,0,0,5,6.34,
12,Ben Gibson,Sub,0,0,0,0,0,0,0,0,
13,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
14,Kei Kamara63',Sub,0,0,0,0,0,0,0,5.93,
15,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,
16,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,
17,Andrew Halliday,Sub,0,0,0,0,0,0,0,0,
18,Marvin Emnes63',Sub,0,0,0,0,0,0,0,6.12,
