R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,2,2,0,0,0,8.46,
2,Nathaniel Chalobah,DC,1,1,6,6,2,0,3,7.33,
3,Jonathan Woodgate,DC,1,3,18,18,3,0,3,7.93,
4,Daniel Ayala,DC,2,0,13,13,1,1,2,6.41,
5,Albert Adomah,DMR,4,3,4,4,0,0,1,7.68,
6,Emmanuel Jorge Ledesma,DML,3,3,4,4,1,0,1,7.33,
7,Jacob Butterfield72',MC,0,2,1,1,0,0,0,7.32,
8,Dean Whitehead,MC,0,1,11,11,1,0,4,7.04,
9,Grant Leadbitter,MC,1,1,4,4,1,0,2,7.23,
10,Lee Tomlin82',FW,1,0,1,1,0,0,2,7.2,
11,Danny Graham89',FW,0,0,0,0,1,0,0,6.89,
12,Jason Steele,Sub,0,0,0,0,0,0,0,0,
13,Curtis Main89',Sub,0,0,0,0,0,0,0,6,
14,József Varga72',Sub,2,0,1,1,0,0,1,6.33,
15,Luke Williams82',Sub,0,0,2,2,0,0,0,6.22,
16,Adam Jackson,Sub,0,0,0,0,0,0,0,0,
17,Bryn Morris,Sub,0,0,0,0,0,0,0,0,
18,David Atkinson,Sub,0,0,0,0,0,0,0,0,
