R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,7.18,
2,Emilio Nsue Lopez,DR,1,1,3,3,0,0,0,6.84,
3,Daniel Ayala,DC,1,3,4,4,0,1,0,7.37,
4,Kenneth Omeruo71',DC,1,3,4,4,1,0,1,7,
5,George Friend,DL,3,0,1,1,0,0,0,6.82,
6,Albert Adomah,MR,3,1,0,0,0,0,2,6.44,
7,Lee Tomlin87',MC,2,0,0,0,0,0,2,6.7,
8,Adam Clayton,MC,2,3,1,1,0,0,2,7.74,
9,Adam Reach,ML,1,5,1,1,0,0,0,6.97,
10,Patrick Bamford,FW,0,0,0,0,0,0,1,6.18,
11,Kike76',FW,0,1,2,2,0,0,0,5.92,
12,Emmanuel Ledesma,Sub,0,0,0,0,0,0,0,undefined,
13,James Husband,Sub,0,0,0,0,0,0,0,undefined,
14,Yanic Wildschut87',Sub,0,0,0,0,0,0,1,5.96,
15,Jamal Blackman,Sub,0,0,0,0,0,0,0,undefined,
16,Ryan Fredericks,Sub,0,0,0,0,0,0,0,undefined,
17,Ben Gibson71',Sub,0,1,3,3,1,0,0,6.44,
18,Grant Leadbitter76',Sub,1,0,0,0,0,0,0,6.17,
