R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Shay Given,GK,0,0,1,1,0,0,0,7.32,
2,József Varga,DR,2,2,6,6,2,1,1,7.27,
3,Rhys Williams,DC,0,2,24,24,1,0,0,8.79,
4,Daniel Ayala,DC,3,1,17,17,1,1,1,8.25,
5,George Friend,DL,2,1,14,14,0,0,2,7.82,
6,Emmanuel Jorge Ledesma89',MR,6,1,1,1,0,0,3,7.98,
7,Grant Leadbitter,MC,3,2,2,2,0,0,0,6.81,
8,Dean Whitehead,MC,1,1,3,3,0,0,1,6.98,
9,Marvin Emnes61',MC,1,0,2,2,0,0,1,6.04,
10,Albert Adomah,ML,1,1,0,0,0,0,2,6.89,
11,Lukas Jutkiewicz81',FW,0,1,1,1,1,0,0,6.36,
12,Jacob Butterfield89',Sub,0,0,0,0,0,0,0,6.09,
13,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,
14,Mustapha Carayol61',Sub,2,1,1,1,0,0,1,8.39,
15,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,
16,Curtis Main81',Sub,0,0,1,1,0,0,1,6.07,
17,Ben Gibson,Sub,0,0,0,0,0,0,0,0,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
