R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,0,0,0,7.1,
2,,"Ryan Fredericks 22, DR",0,1,2,0,0,6.98,
3,,"Ben Gibson 21, DC",0,2,5,0,1,6.83,
4,,"Daniel Ayala 24, DC",2,5,5,0,1,7.52,
5,,"George Friend 27, DL",1,4,4,0,0,7.89,
6,,"Adam Clayton 25, DMC",1,2,0,1,3,6.75,
7,,"Grant Leadbitter 28, DMC",0,0,1,0,1,6.48,
8,,"Yanic Wildschut (45?)23, AMR",0,1,0,0,0,6.21,
9,,"Lee Tomlin (79?)25, AMC",0,0,0,0,4,6.63,
10,,"Adam Reach 21, AML",0,3,0,0,0,7.19,
11,,"Patrick Bamford (67?)21, FW",0,1,1,0,1,6.38,
12,,"Jelle Vossen (79?)25, Sub",0,0,0,0,1,5.97,
13,,"Albert Adomah (67?)26, Sub",0,0,0,0,0,6.13,
14,,"Milos Veljkovic 19, Sub",0,0,0,0,0,-,
15,,"Tomás Mejías 25, Sub",0,0,0,0,0,-,
16,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,-,
17,,"Kike (45?)24, Sub",0,0,0,0,2,5.9,
18,,"Dean Whitehead 32, Sub",0,0,0,0,0,-,
