R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,6.19,
2,,"Ryan Fredericks (38?)22, DR",1,0,2,0,1,5.87,
3,,"Tomas Kalas 21, DC",2,3,2,0,0,6.53,
4,,"Ben Gibson 22, DC",1,1,2,0,0,5.94,
5,,"George Friend 27, DL",0,2,3,0,2,6.92,
6,,"Grant Leadbitter (82?)29, DMC",1,1,1,0,0,7.97,
7,,"Adam Clayton 26, DMC",2,2,0,0,3,7.12,
8,,"Albert Adomah (69?)27, AMR",2,0,0,0,0,6.62,
9,,"Lee Tomlin 26, AMC",1,0,0,0,1,7.46,
10,,"Patrick Bamford 21, AML",1,0,0,0,2,6.2,
11,,"Kike 25, FW",0,0,0,0,1,6.25,
12,,"Jelle Vossen (69?)25, Sub",0,0,0,0,0,6.11,
13,,"Emilio Nsue Lopez (38?)25, Sub",2,3,4,0,2,6.67,
14,,"Adam Forshaw (82?)23, Sub",1,0,0,0,0,6.33,
15,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
16,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,-,
17,,"Adam Reach 22, Sub",0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
