R,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Daniel Ayala25, D(CL)",190,81,34(1),3011,1.9,3.5,1.4,0.5,6.3,0.5,0.7,-,7.43
2,,"Gastón Ramírez25, AM(CLR),FW",183,77,15(3),1295,1.5,1.1,1.7,-,0.5,1.3,0.1,-,7.35
3,,"George Friend28, D(L)",188,83,39(1),3427,2.3,2.5,0.7,0.1,2.7,0.6,0.4,1,7.29
4,,"Albert Adomah28, AM(LR)",185,73,36(7),3234,2.2,0.9,0.9,-,0.6,0.8,-,-,7.2
5,,"Adam Clayton27, M(C)",175,75,41(2),3700,2.5,3.1,1.6,-,0.8,1,0.4,-,7.16
6,,"Grant Leadbitter30, DMC",174,68,39(2),3449,1.9,1.7,1,-,0.8,1,0.4,-,7.08
7,,"Dael Fry18, D(C)",0,0,7,630,1.3,1.7,0.6,0.6,8.9,0.1,0.4,-,7.07
8,,"Nsue26, D(R),M(CLR),FW",182,75,37(3),3282,1.5,2.3,0.5,0.1,2.3,0.4,0.3,-,7.02
9,,"Ritchie de Laet27, D(LR)",186,77,9(1),846,1.1,2.3,0.9,-,3.3,0.3,0.1,-,7
10,,"Ben Gibson23, D(CL)",185,78,32(1),2840,1.1,2.5,0.8,0.2,5.6,0.2,0.9,1,6.94
11,,"Tomas Kalas23, D(CR)",182,73,19(7),1790,1.2,2.2,0.4,0.1,3.5,0.4,0.3,-,6.9
12,,"Bruno Zuculini23, DMC",182,74,3(2),301,2.4,1.6,0.2,-,0.8,1.2,0.2,-,6.9
13,,"Dimitrios Konstantopoulos37, GK",193,90,46,4140,-,-,-,-,0.7,-,-,-,6.84
14,,"Stewart Downing31, D(C),M(CLR),FW",180,64,40(5),3570,0.6,0.7,0.2,-,0.2,0.4,-,-,6.83
15,,"Jordan Rhodes26, FW",185,71,13(5),1162,0.1,0.1,0.2,-,0.5,0.3,0.1,-,6.81
16,,"Fernando Amorebieta31, D(CL),DMC",192,85,11(2),1032,1.5,1.8,1.3,0.2,3.2,0.2,0.8,-,6.78
17,,"Diego Fabbrini25, AM(C),FW",181,66,14(8),1261,0.8,0.4,0.7,-,0.2,0.2,0.1,-,6.71
18,,"Cristhian Stuani29, AM(CLR),FW",186,77,20(16),1869,1.3,0.7,1.2,-,0.5,0.5,0.1,-,6.7
19,,"David Nugent31, M(CL),FW",180,76,24(14),2266,0.4,0.1,1.2,-,0.6,0.2,-,-,6.69
20,,"Yanic Wildschut24, AM(L)",187,86,1,46,2,1,-,-,-,-,-,-,6.62
21,,"Adam Reach23, D(L),M(LR),FW",185,73,3(1),227,0.8,1,0.3,-,-,1,-,-,6.59
22,,"Adam Forshaw24, M(C)",185,71,9(20),1028,0.8,0.9,0.6,-,0.6,0.2,0.1,-,6.53
23,,"Kike26, FW",186,79,10(9),840,0.4,0.3,0.7,-,0.5,0.2,0.1,-,6.43
24,,"Carlos De Pena24, Midfielder",177,74,3(3),242,0.7,1,0.5,-,-,0.2,-,-,6.39
25,,"Julien de Sart21, Midfielder",182,68,0(2),3,0.5,0.5,0.5,-,-,-,-,-,6.1
26,,"Jack Stephens22, Defender",185,75,0(1),11,-,-,-,-,-,-,-,-,6.04
27,,"Kike Sola30, AM(L),FW",185,82,1(1),51,0.5,0.5,1,-,-,-,-,-,6.02
