R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,1,0,0,0,5.5,
2,Frazer Richardson,DR,0,0,0,0,0,0,2,0,6.55,
3,Daniel Ayala,DC,0,0,0,0,1,0,0,0,5.97,
4,Jonathan Woodgate,DC,1,0,0,1,0,0,1,0,7.07,
5,George Friend,DL,1,0,0,3,2,2,1,0,6.71,
6,Albert Adomah,MR,1,0,4,1,4,0,1,2,7.48,
7,Grant Leadbitter,MC,2,0,2,0,1,0,0,0,6.41,
8,Richard Smallwood82',MC,0,0,1,0,0,0,0,0,6.68,
9,Mustapha Carayol67',ML,2,2,0,1,1,1,4,0,7.25,
10,Marvin Emnes44',FW,0,0,0,0,2,3,1,0,5.81,
11,Kei Kamara,FW,1,1,0,0,0,2,3,0,7.12,
12,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,0,
13,Lukas Jutkiewicz82',Sub,1,1,0,0,0,0,1,0,6.12,
14,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,
15,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,
16,Curtis Main67',Sub,0,0,0,0,1,1,3,0,5.89,
17,Rhys Williams,Sub,0,0,0,0,0,0,0,0,0,
18,Jayson Leutwiler44',Sub,0,0,0,0,0,0,0,0,7,
