R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,0,6.31,
2,József Varga,DR,0,0,0,0,1,0,2,0,5.99,
3,Ben Gibson,DC,0,0,0,0,0,0,2,0,6.07,
4,Kenneth Omeruo,DC,0,0,0,0,1,0,0,0,6.36,
5,George Friend,DL,0,0,1,0,2,1,1,0,7.03,
6,Emmanuel Jorge Ledesma73',MR,0,0,3,0,1,1,3,0,6.32,
7,Dean Whitehead,MC,0,0,0,0,1,1,0,0,6.44,
8,Jacob Butterfield,MC,2,0,0,0,3,3,2,0,6.14,
9,Nathaniel Chalobah45',MC,1,0,1,0,1,0,1,0,6.49,
10,Albert Adomah,ML,5,2,2,1,2,1,1,0,8.39,
11,Danny Graham88',FW,2,0,0,0,1,2,0,1,6.07,
12,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,
13,Curtis Main73',Sub,0,0,0,0,0,0,1,0,5.95,
14,Luke Williams88',Sub,0,0,0,0,1,0,0,0,6.04,
15,Adam Jackson,Sub,0,0,0,0,0,0,0,0,0,
16,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,
17,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,
18,Lee Tomlin45',Sub,1,0,0,0,2,3,1,0,6.04,
