,,,,,,,,,,,,
R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,0,6.32,
2,Frazer Richardson77',DR,1,1,1,0,0,0,1,0,6.62,
3,Ben Gibson,DC,2,1,0,0,0,1,1,0,7.2,
4,Rhys Williams,DC,1,0,0,0,1,0,1,0,7.34,
5,George Friend,DL,1,0,0,4,0,1,1,0,7.13,
6,Dean Whitehead,DMC,2,0,2,0,3,0,1,0,6.68,
7,Albert Adomah,MR,0,0,4,1,1,0,4,0,6.85,
8,Grant Leadbitter,MC,4,2,6,0,0,1,2,0,7.82,
9,Jacob Butterfield72',MC,0,0,1,1,1,1,4,0,6.68,
10,Mustapha Carayol65',ML,2,2,0,1,0,4,4,0,6.23,
11,Kei Kamara,FW,5,2,1,0,1,1,0,0,6.6,
12,Lukas Jutkiewicz65',Sub,2,0,0,0,2,0,1,1,6.13,
13,József Varga,Sub,0,0,0,0,0,0,0,0,0,
14,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,
15,Andrew Halliday72',Sub,0,0,0,0,0,0,0,0,6.11,
16,Stuart Parnaby,Sub,0,0,0,0,0,0,0,0,0,
17,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,
18,Justin Hoyte77',Sub,0,0,0,0,0,0,0,0,6.13,
