R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,1,0,0,0,7.59,
2,József Varga,DR,0,0,0,1,0,0,2,0,7.12,
3,Ben Gibson,DC,0,0,0,0,2,0,0,0,7.58,
4,Kenneth Omeruo,DC,0,0,0,0,1,0,1,0,7.42,
5,George Friend,DL,0,0,0,1,0,3,0,0,6.93,
6,Albert Adomah,MR,0,0,0,2,1,4,1,1,6.57,
7,Dean Whitehead,MC,0,0,1,0,1,0,0,0,7.07,
8,Grant Leadbitter76',MC,0,0,1,0,0,0,0,0,6.48,
9,Mustapha Carayol89',ML,1,0,1,3,2,2,4,0,6.27,
10,Lee Tomlin58',AMC,2,0,1,1,3,3,0,0,6.54,
11,Danny Graham,FW,2,1,0,0,0,1,5,0,6.16,
12,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,
13,Curtis Main89',Sub,0,0,0,0,0,0,0,0,5.91,
14,Emmanuel Jorge Ledesma76',Sub,0,0,0,0,0,0,1,0,5.94,
15,Luke Williams,Sub,0,0,0,0,0,0,0,0,0,
16,Nathaniel Chalobah58',Sub,0,0,0,2,0,0,0,0,6.83,
17,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,
18,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,
