,,,,,,,,,,,,
R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,1,0,0,0,6.29,
2,Frazer Richardson7',DR,0,0,0,0,0,0,0,0,6.04,
3,Jonathan Woodgate,DC,0,0,0,0,0,0,0,0,6.9,
4,Rhys Williams,DC,0,0,1,0,1,0,0,0,7.05,
5,George Friend,DL,1,1,0,3,0,2,1,1,7.41,
6,Dean Whitehead,DMC,1,0,1,0,1,0,2,0,6.6,
7,Albert Adomah76',MR,2,2,2,0,1,4,2,0,7.24,
8,Grant Leadbitter,MC,2,1,4,0,2,1,1,0,7.5,
9,József Varga,MC,0,0,0,1,3,0,1,0,6.6,
10,Mustapha Carayol67',ML,0,0,0,3,2,0,3,1,6.58,
11,Lukas Jutkiewicz,FW,3,2,3,0,0,2,1,2,6.97,
12,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,
13,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,
14,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,
15,Andrew Halliday76',Sub,1,0,0,0,0,0,0,0,5.85,
16,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,
17,Stuart Parnaby7',Sub,0,0,0,0,2,1,0,0,6.2,
18,Marvin Emnes67',Sub,3,1,0,0,1,2,0,0,6.3,
