R,Name,P,S,SoT,KP,PA%,AD,T,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,31,1,45,8.46,
2,József Varga,DR,0,0,0,74,0,59,7.24,
3,Ben Gibson,DC,0,0,0,69,0,46,7.2,
4,Kenneth Omeruo79',DC,0,0,0,80,3,48,7.34,
5,George Friend,DL,1,0,2,84,1,55,7.08,
6,Luke Williams,MR,3,2,1,96,0,37,7.25,
7,Dean Whitehead,MC,0,0,1,95,0,46,6.64,
8,Grant Leadbitter,MC,3,1,2,92,0,53,8.11,
9,Albert Adomah87',ML,1,1,2,80,0,49,7.66,
10,Lee Tomlin60',AMC,3,2,1,77,0,38,6.31,
11,Danny Graham,FW,2,1,2,78,2,26,8.15,
12,Emmanuel Jorge Ledesma87',Sub,0,0,0,50,0,6,6.13,
13,Nathaniel Chalobah79',Sub,0,0,1,100,1,5,6.43,
14,Bryn Morris,Sub,0,0,0,0,0,0,0,
15,David Atkinson,Sub,0,0,0,0,0,0,0,
16,Kei Kamara,Sub,0,0,0,0,0,0,0,
17,Jacob Butterfield60',Sub,1,0,1,91,0,17,6.37,
18,Jason Steele,Sub,0,0,0,0,0,0,0,
