R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,0,0,0,6.05,
2,,"Dwight Tiendalli (62?)29, DR",0,0,1,0,0,0,0,0,6.58,
3,,"Fernando Amorebieta 30, DC",1,0,0,0,0,0,1,0,7.9,
4,,"Jonathan Woodgate 35, DC",0,0,0,0,0,0,0,0,6.31,
5,,"George Friend 27, DL",1,0,2,3,3,0,1,2,7.39,
6,,"Adam Clayton (83?)26, DMC",0,0,1,2,1,0,1,1,7.26,
7,,"Grant Leadbitter 29, DMC",1,0,2,0,1,1,0,0,6.09,
8,,"Albert Adomah 27, AMR",1,0,1,3,2,1,3,4,6.41,
9,,"Lee Tomlin (61?)26, AMC",2,1,1,1,1,0,1,0,6.58,
10,,"Adam Reach 22, AML",2,0,0,1,0,0,2,2,5.77,
11,,"Patrick Bamford 21, FW",1,0,0,0,1,0,2,5,5.73,
12,,"Tomas Kalas (62?)21, Sub",0,0,1,1,0,0,0,1,6.59,
13,,"Kike (61?)25, Sub",2,1,1,0,0,0,0,0,6.2,
14,,"Adam Forshaw (83?)23, Sub",1,0,1,0,0,0,0,0,6.16,
15,,"Jelle Vossen 26, Sub",0,0,0,0,0,0,0,0,-,
16,,"Ben Gibson 22, Sub",0,0,0,0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,-,
