R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,0,0,0,7.05,
2,,"Emilio Nsue Lopez 25, DR",1,0,0,0,0,0,0,0,7.12,
3,,"Daniel Ayala 24, DC",0,0,0,0,0,0,0,2,7.12,
4,,"Tomas Kalas 22, DC",0,0,0,1,0,0,1,0,7.63,
5,,"George Friend 27, DL",1,0,0,0,0,1,3,1,7.35,
6,,"Grant Leadbitter 29, DMC",1,0,0,2,1,0,1,0,7.89,
7,,"Adam Clayton 26, DMC",0,0,1,0,1,0,0,0,7.49,
8,,"Albert Adomah (73?)27, AMR",1,0,2,5,0,1,0,1,8.11,
9,,"Diego Fabbrini (63?)25, AMC",3,2,1,2,1,0,2,1,8.71,
10,,"Stewart Downing 31, AML",4,1,5,0,1,2,0,2,7.62,
11,,"Kike (82?)25, FW",5,4,1,0,1,1,2,0,8.66,
12,,"Adam Forshaw (73?)23, Sub",0,0,0,0,0,0,0,0,6.05,
13,,"David Nugent (82?)30, Sub",1,0,1,0,0,1,0,0,6.03,
14,,"Christian Stuani (63?)28, Sub",0,0,0,0,1,0,0,0,6.24,
15,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,0,0,-,
16,,"Jack Stephens 21, Sub",0,0,0,0,0,0,0,0,-,
17,,"James Husband 21, Sub",0,0,0,0,0,0,0,0,-,
18,,"Dael Fry 18, Sub",0,0,0,0,0,0,0,0,-,
