R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,0,0,0,0,0,0,6.4,
2,,"Ryan Fredericks 22, DR",0,0,2,0,2,0,0,1,7.59,
3,,"Daniel Ayala 23, DC",0,0,1,0,1,0,1,1,7.81,
4,,"Ben Gibson 21, DC",0,0,0,0,0,0,1,0,6.47,
5,,"George Friend 27, DL",0,0,0,0,1,0,1,0,6.38,
6,,"Albert Adomah (83?)26, MR",2,2,1,1,1,0,2,1,8.1,
7,,"Grant Leadbitter 28, MC",1,0,0,0,2,0,0,0,6.86,
8,,"Adam Clayton (59?)25, MC",1,0,0,0,0,0,1,1,7.57,
9,,"Adam Reach 21, ML",2,0,2,0,0,0,1,1,6.48,
10,,"Lee Tomlin (45?)25, AMC",1,1,1,1,0,0,1,0,7.25,
11,,"Kike 24, FW",4,0,0,0,1,0,4,7,5.96,
12,,"Dean Whitehead (59?)32, Sub",0,0,0,0,0,0,0,0,6.26,
13,,"Jelle Vossen (45?)25, Sub",0,0,0,0,2,0,0,0,6.44,
14,,"Emilio Nsue Lopez (83?)25, Sub",0,0,0,0,0,0,0,0,5.95,
15,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,0,0,-,
16,,"Jamal Blackman 21, Sub",0,0,0,0,0,0,0,0,-,
17,,"Patrick Bamford 21, Sub",0,0,0,0,0,0,0,0,-,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,0,0,-,
