R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,0,0,0,6.33,
2,,"Dean Whitehead (59?)33, DR",0,0,0,0,0,0,0,1,6.76,
3,,"Jonathan Woodgate 35, DC",1,1,0,0,1,0,0,0,8.03,
4,,"Daniel Ayala (50?)24, DC",1,1,0,0,1,0,0,0,6.85,
5,,"Tomas Kalas 21, DL",0,0,1,0,3,0,0,0,7.44,
6,,"Adam Forshaw 23, DMC",2,0,1,0,2,0,0,1,6.97,
7,,"Adam Clayton 26, DMC",2,0,6,0,3,0,2,0,7.39,
8,,"Albert Adomah 27, AMR",1,0,0,3,3,0,2,2,7.54,
9,,"Jelle Vossen (80?)25, AMC",1,0,0,0,0,2,2,1,6.3,
10,,"Adam Reach 22, AML",0,0,1,0,0,1,1,2,6.25,
11,,"Kike 25, FW",6,4,1,0,1,1,5,4,7.53,
12,,"Ben Gibson (50?)22, Sub",0,0,0,0,0,0,0,0,5.72,
13,,"Grant Leadbitter (59?)29, Sub",0,0,2,0,0,0,0,1,7.05,
14,,"Lee Tomlin (80?)26, Sub",0,0,1,2,0,0,1,0,7.01,
15,,"Emmanuel Ledesma 26, Sub",0,0,0,0,0,0,0,0,-,
16,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,-,
17,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,0,0,-,
18,,"Patrick Bamford 21, Sub",0,0,0,0,0,0,0,0,-,
