R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,1,0,0,0,6.54,
2,,"Emilio Nsue Lopez 25, DR",1,0,1,0,0,0,0,0,7.08,
3,,"Kenneth Omeruo 21, DC",0,0,1,0,0,0,0,1,7.34,
4,,"Daniel Ayala 24, DC",0,0,0,0,0,0,0,1,7,
5,,"George Friend 27, DL",0,0,0,0,1,0,2,1,6.79,
6,,"Albert Adomah 26, MR",0,0,2,0,2,1,1,1,6.6,
7,,"Adam Clayton (62?)25, MC",0,0,0,0,0,0,1,1,6.61,
8,,"Grant Leadbitter 28, MC",0,0,2,0,0,0,0,0,6.61,
9,,"Adam Reach (80?)21, ML",2,0,2,1,2,0,0,1,7.68,
10,,"Jelle Vossen (70?)25, FW",5,4,1,0,0,0,2,1,9.22,   
11,,"Patrick Bamford 21, FW",5,2,2,0,3,2,1,4,7.06,
12,,"Yanic Wildschut (80?)23, Sub",0,0,0,0,0,0,1,0,5.84,
13,,"Milos Veljkovic (62?)19, Sub",0,0,1,0,0,0,0,0,6.56,
14,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,-,
15,,"Kike (70?)25, Sub",2,1,0,0,0,2,0,0,7.25,
16,,"Ben Gibson 21, Sub",0,0,0,0,0,0,0,0,-,
17,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,0,0,-,
18,,"Lee Tomlin 25, Sub",0,0,0,0,0,0,0,0,-,
