R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Tomás Mejías 26, GK",0,0,0,0,0,0,0,0,5.56,
2,,"Emilio Nsue Lopez (65?)25, DR",0,0,1,0,0,1,1,0,6.81,
3,,"Tomas Kalas 21, DC",0,0,0,0,2,0,2,1,7.4,
4,,"Ben Gibson 22, DC",0,0,0,0,1,0,0,0,6.32,
5,,"George Friend 27, DL",3,0,3,0,0,0,1,2,6.5,
6,,"Albert Adomah 27, MR",1,0,4,2,2,1,0,2,7.23,
7,,"Adam Clayton 26, MC",1,1,2,0,0,0,4,1,6.88,
8,,"Grant Leadbitter (78?)29, MC",4,0,2,0,0,0,1,2,6.57,
9,,"Adam Reach (56?)22, ML",1,0,2,0,2,0,1,2,6.44,
10,,"Jelle Vossen 25, FW",7,5,3,3,1,1,3,3,7.13,
11,,"Kike 25, FW",10,4,0,3,3,1,4,6,7.07,
12,,"Lee Tomlin (56?)26, Sub",0,0,2,1,0,0,0,0,6.28,
13,,"Adam Forshaw (78?)23, Sub",0,0,0,0,1,0,0,1,5.88,
14,,"Patrick Bamford (65?)21, Sub",0,0,0,0,1,0,0,1,6,
15,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,-,
16,,"James Husband 21, Sub",0,0,0,0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,-,
