R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,0,0,0,7.09,
2,,"Tomas Kalas 21, DR",0,0,2,0,1,0,0,1,7.8,
3,,"Ben Gibson 22, DC",0,0,0,0,0,0,0,0,7.34,
4,,"Daniel Ayala 24, DC",1,1,0,0,2,0,0,0,8.95,
5,,"George Friend 27, DL",0,0,0,0,0,0,1,0,7.71,
6,,"Adam Clayton 26, DMC",0,0,1,0,1,0,0,1,7.52,
7,,"Grant Leadbitter 29, DMC",0,0,2,0,0,0,2,0,7.12,
8,,"Albert Adomah 27, AMR",1,0,1,0,1,0,2,0,6.61,
9,,"Jelle Vossen (59?)26, AMC",2,0,1,0,0,0,0,2,6.43,
10,,"Lee Tomlin (91?)26, AML",1,0,1,0,0,0,1,2,6.99,
11,,"Patrick Bamford (84?)21, FW",4,2,1,0,0,2,1,3,6.45,
12,,"Fernando Amorebieta (91?)30, Sub",0,0,0,0,0,0,0,0,6.27,
13,,"Kike (84?)25, Sub",0,0,0,0,0,0,1,0,6.02,
14,,"Adam Forshaw (59?)23, Sub",0,0,0,0,1,0,0,0,6.13,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,-,
18,,"Adam Reach 22, Sub",0,0,0,0,0,0,0,0,-,
