R,,Name,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,0,0,0,6.79,
2,,"Tomas Kalas 21, DR",0,0,1,0,1,0,0,4,7.03,
3,,"Ben Gibson 22, DC",0,0,0,0,0,0,0,0,7.27,
4,,"Daniel Ayala (69?)24, DC",2,2,0,0,1,0,0,0,7.69,
5,,"George Friend 27, DL",1,0,0,1,1,0,0,4,6.75,
6,,"Adam Clayton (78?)26, DMC",0,0,3,0,0,0,0,0,7.79,
7,,"Adam Forshaw 23, DMC",0,0,5,0,2,0,1,0,8.19,
8,,"Albert Adomah 27, AMR",3,2,1,0,1,1,4,2,7.18,
9,,"Lee Tomlin (84?)26, AMC",3,1,2,1,2,0,1,0,8.47,
10,,"Patrick Bamford 21, AML",3,2,1,0,1,0,2,2,7.01,
11,,"Kike 25, FW",4,1,1,0,1,0,1,2,7.08,
12,,"Emilio Nsue Lopez (84?)25, Sub",1,0,0,0,0,0,0,0,6.03,
13,,"Jonathan Woodgate (69?)35, Sub",0,0,0,0,0,0,0,0,6.37,
14,,"Dean Whitehead (78?)33, Sub",0,0,0,0,0,0,0,1,6.18,
15,,"Jelle Vossen 26, Sub",0,0,0,0,0,0,0,0,-,
16,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,0,0,-,
17,,"Fernando Amorebieta 30, Sub",0,0,0,0,0,0,0,0,-,
18,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,-,
